ConstructName,SubjectName,QuestionText,AnswerText,MisconceptionText,CorrectAnswerText,MisconceptionID
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 12cm and perpendicular height 14cm.](),26cm²,Adds when calculating area instead of multiplying,168cm²,828
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=5x+1. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 11 \) \\
\end{tabular}]()",5,Mixes up the value of two terms when substituting,6,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 9 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8 and 9.]()",1,Does not understand that a probability of 1 represents something that is certain,9,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.78 to a percentage,7.8%,Does not understand a percentage is out of 100,78%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.000000006 to a percentage,0.000006%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.0000006%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 7 \\
\hline 1 & 5 \\
\hline 2 & 10 \\
\hline 3 & 3 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 14cm and perpendicular height 11cm.](),25cm²,Adds when calculating area instead of multiplying,154cm²,828
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=3x-4. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 2 \) \\
\end{tabular}]()",3,Mixes up the value of two terms when substituting,2,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 10 equal sections labelled 1, 2, 3, 4, 5, 6, 7, 8, 9 and 10.]()",1,Does not understand that a probability of 1 represents something that is certain,10,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.23 to a percentage,2.3%,Does not understand a percentage is out of 100,23%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.0000000001 to a percentage,0.0000001%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.00000001%,61
Solve problems involving subtracting a period of time from a given end time,Time,What time is 2 hours 5 minutes before 12:00?,10:55,"Does not subtract from the hours, when having to borrow for a time calculation",9:55,13
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 7 \\
\hline 2 & 5 \\
\hline 3 & 7 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1 and 3,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 15cm and perpendicular height 14cm.](),29cm²,Adds when calculating area instead of multiplying,210cm²,828
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=10x-4. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 16 \) \\
\end{tabular}]()",10,Mixes up the value of two terms when substituting,6,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 4 equal sections labelled 1, 2, 3 and 4.]()",1,Does not understand that a probability of 1 represents something that is certain,4,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.82 to a percentage,8.2%,Does not understand a percentage is out of 100,82%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.0000000005 to a percentage,0.0000005%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.00000005%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 5 \\
\hline 1 & 11 \\
\hline 2 & 6 \\
\hline 3 & 3 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 13cm and perpendicular height 11cm.](),24cm²,Adds when calculating area instead of multiplying,143cm²,828
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=7x-2. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 12 \) \\
\end{tabular}]()",7,Mixes up the value of two terms when substituting,5,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular hexagon](),3,Does not know how to find order of rotational symmetry,6,2355
Identify the outcomes of a single event,Probability of Single Events,"This is a fair spinner. How many possible outcomes are there if it is spun once? ![A spinner with 6 equal sections labelled 1, 2, 3, 4, 5 and 6.]()",1,Does not understand that a probability of 1 represents something that is certain,6,1132
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.46 to a percentage,4.6%,Does not understand a percentage is out of 100,46%,329
"Solve problems involving converting between fractions, decimals and percentages",Converting between Fractions and Percentages,Convert 0.0000000008 to a percentage,0.0000008%,Multiplies by 10 instead of 100 when converting decimal to percentage,0.00000008%,61
Identify the mode from a frequency table,Averages and Range from Frequency Table,"The table below shows the number of pets owned by a group of children. What is the modal number of pets owned?  ![\begin{tabular}{|c|c|}
Number of pets & Frequency \\
\hline 0 & 6 \\
\hline 1 & 7 \\
\hline 2 & 5 \\
\hline 3 & 7 \\
\hline
\end{tabular}]()",0,Believes the mode is the most common frequency rather than the highest frequency,1 and 3,2470
Calculate the area of a rectangle where the dimensions are given in the same units,Area of Simple Shapes,What is the area of this rectangle? ![A rectangle with base length 12cm and perpendicular height 13cm.](),25cm²,Adds when calculating area instead of multiplying,156cm²,828
"Given the area of a trapezium, calculate a missing dimension",Area of Simple Shapes,The area of this trapezium is 28cm². What is the value of a? ![A trapezium with the parallel sides labelled with 4cm and a and the height labelled with 7cm](),8cm,Does not divide by 2 when calculating the area of a trapezium,4cm,2353
"Given a positive x value, find a y value in a table of values for lines in the form y = mx + c",Plotting Lines from Tables of Values,"This is part of the table of values for y=9x-1. What should replace the star? ![\begin{tabular}{l|l|l|l}
\( x \) & \( 0 \) & \( 1 \) & \( 2 \) \\
\hline\( y \) & \( \color{gold}\bigstar \) &  & \( 17 \) \\
\end{tabular}]()",9,Mixes up the value of two terms when substituting,8,391
Identify the order of rotational symmetry of a shape,Rotational Symmetry,What is the order of rotational symmetry of this shape? ![A regular pentagon](),1,Does not know how to find order of rotational symmetry,5,2355
